"","x"
"1","SRR3090572"
"2","SRR5282941"
"3","SRR5004879"
"4","SRR7592795"
"5","SRR7589097"
"6","SRR7594185"
"7","SRR7593853"
"8","SRR7592468"
"9","SRR7592090"
"10","SRR12689213"
"11","SRR7591998"
"12","SRR7592703"
"13","SRR8401694"
"14","SRR8401684"
"15","SRR8401628"
"16","SRR8401636"
"17","SRR8401768"
"18","SRR11101993"
"19","SRR10159723"
"20","SRR10159711"
"21","SRR10159713"
"22","SRR10159714"
"23","SRR10159719"
"24","SRR10159718"
"25","SRR10159717"
"26","SRR10159715"
"27","SRR10159716"
"28","SRR10159720"
